2026-08-06 19:15:00 | INFO    | amr.request      | e5f9f05d | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:15:00 | INFO    | amr.request      | e46f0434 | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:15:00 | INFO    | amr.request      | 57a79081 | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:15:30 | INFO    | amr.request      | f9a41352 | GET /api/stats/overview → 200 (3.9ms) role=OPERATOR
2026-08-06 19:15:30 | INFO    | amr.request      | 20d26366 | GET /api/stats/overview → 200 (2.3ms) role=OPERATOR
2026-08-06 19:15:30 | INFO    | amr.request      | df296534 | GET /api/stats/overview → 200 (2.4ms) role=OPERATOR
2026-08-06 19:15:30 | INFO    | amr.request      | 085d2173 | GET /api/stats/overview → 200 (1.9ms) role=OPERATOR
2026-08-06 19:16:00 | INFO    | amr.request      | fe906ee6 | GET /api/stats/overview → 200 (3.1ms) role=OPERATOR
2026-08-06 19:16:00 | INFO    | amr.request      | 7d813552 | GET /api/stats/overview → 200 (1.5ms) role=OPERATOR
2026-08-06 19:16:00 | INFO    | amr.request      | 5ee1bb99 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:16:00 | INFO    | amr.request      | c6a47fed | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:16:30 | INFO    | amr.request      | 4d24569a | GET /api/stats/overview → 200 (1.8ms) role=OPERATOR
2026-08-06 19:16:30 | INFO    | amr.request      | 5c82ca4a | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:16:30 | INFO    | amr.request      | f38e40d6 | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:16:30 | INFO    | amr.request      | af90c19e | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:17:00 | INFO    | amr.request      | dcf6a00f | GET /api/stats/overview → 200 (2.0ms) role=OPERATOR
2026-08-06 19:17:00 | INFO    | amr.request      | b392a8b2 | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:17:00 | INFO    | amr.request      | 2dcdcb98 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:17:00 | INFO    | amr.request      | 4241b9ba | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:17:30 | INFO    | amr.request      | e5603518 | GET /api/stats/overview → 200 (2.3ms) role=OPERATOR
2026-08-06 19:17:30 | INFO    | amr.request      | 0a2d7841 | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:17:30 | INFO    | amr.request      | 9ea1d53a | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:17:30 | INFO    | amr.request      | 9cb804b0 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:18:00 | INFO    | amr.request      | 8a6b955a | OPTIONS /api/stats/overview → 200 (0.3ms) role=-
2026-08-06 19:18:00 | INFO    | amr.request      | 98ecb9c8 | OPTIONS /api/stats/overview → 200 (0.5ms) role=-
2026-08-06 19:18:00 | INFO    | amr.request      | 83f8cbde | OPTIONS /api/stats/overview → 200 (0.9ms) role=-
2026-08-06 19:18:00 | INFO    | amr.request      | c2316e40 | OPTIONS /api/stats/overview → 200 (1.1ms) role=-
2026-08-06 19:18:00 | INFO    | amr.request      | 108563bc | GET /api/stats/overview → 200 (2.6ms) role=OPERATOR
2026-08-06 19:18:00 | INFO    | amr.request      | 26ec22ac | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:18:00 | INFO    | amr.request      | 7372ca05 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:18:00 | INFO    | amr.request      | fc60ccc9 | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:18:30 | INFO    | amr.request      | c4aeadb3 | GET /api/stats/overview → 200 (1.9ms) role=OPERATOR
2026-08-06 19:18:30 | INFO    | amr.request      | 682fc842 | GET /api/stats/overview → 200 (1.5ms) role=OPERATOR
2026-08-06 19:18:30 | INFO    | amr.request      | a7a28fae | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:18:30 | INFO    | amr.request      | db697c99 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:19:00 | INFO    | amr.request      | cf05e460 | GET /api/stats/overview → 200 (2.3ms) role=OPERATOR
2026-08-06 19:19:00 | INFO    | amr.request      | 27c5ed97 | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:19:00 | INFO    | amr.request      | 51ea2d34 | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:19:00 | INFO    | amr.request      | 1d562e2f | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:19:30 | INFO    | amr.request      | 7bfab5d1 | GET /api/stats/overview → 200 (1.9ms) role=OPERATOR
2026-08-06 19:19:30 | INFO    | amr.request      | 03b4e000 | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:19:30 | INFO    | amr.request      | 029de05c | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:19:30 | INFO    | amr.request      | ac10d2fa | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:20:00 | INFO    | amr.request      | 696a6653 | GET /api/stats/overview → 200 (2.0ms) role=OPERATOR
2026-08-06 19:20:00 | INFO    | amr.request      | 9449c9bc | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:20:00 | INFO    | amr.request      | 436e996e | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:20:00 | INFO    | amr.request      | 4a7ecfd9 | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:20:30 | INFO    | amr.request      | 3c175948 | GET /api/stats/overview → 200 (2.7ms) role=OPERATOR
2026-08-06 19:20:30 | INFO    | amr.request      | 8f3fe007 | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:20:30 | INFO    | amr.request      | c558758e | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:20:30 | INFO    | amr.request      | 49de099d | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:21:00 | INFO    | amr.request      | 7ad1853d | GET /api/stats/overview → 200 (1.9ms) role=OPERATOR
2026-08-06 19:21:00 | INFO    | amr.request      | fb776ab8 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:21:00 | INFO    | amr.request      | 40fda19a | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:21:00 | INFO    | amr.request      | af1aa5fd | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:21:30 | INFO    | amr.request      | 5b4e960a | GET /api/stats/overview → 200 (2.1ms) role=OPERATOR
2026-08-06 19:21:30 | INFO    | amr.request      | a2be99e9 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:21:30 | INFO    | amr.request      | 5e355d2c | GET /api/stats/overview → 200 (1.1ms) role=OPERATOR
2026-08-06 19:21:30 | INFO    | amr.request      | 40a07831 | GET /api/stats/overview → 200 (0.9ms) role=OPERATOR
2026-08-06 19:22:00 | INFO    | amr.request      | c56ab897 | GET /api/stats/overview → 200 (1.9ms) role=OPERATOR
2026-08-06 19:22:00 | INFO    | amr.request      | 7467e95d | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:22:00 | INFO    | amr.request      | 1c88c328 | GET /api/stats/overview → 200 (1.2ms) role=OPERATOR
2026-08-06 19:22:00 | INFO    | amr.request      | ef0e997e | GET /api/stats/overview → 200 (1.0ms) role=OPERATOR
2026-08-06 19:22:30 | INFO    | amr.request      | d1b99dce | GET /api/stats/overview → 200 (2.1ms) role=OPERATOR
2026-08-06 19:22:30 | INFO    | amr.request      | c54d7e4b | GET /api/stats/overview → 200 (2.1ms) role=OPERATOR
2026-08-06 19:22:30 | INFO    | amr.request      | bafe76b1 | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:22:30 | INFO    | amr.request      | 24a4c33c | GET /api/stats/overview → 200 (1.3ms) role=OPERATOR
2026-08-06 19:23:00 | INFO    | amr.request      | ae89e53f | GET /api/stats/overview → 200 (2.3ms) role=OPERATOR
2026-08-06 19:23:00 | INFO    | amr.request      | 8aecffa1 | GET /api/stats/overview → 200 (1.6ms) role=OPERATOR
2026-08-06 19:23:00 | INFO    | amr.request      | ef8652f3 | GET /api/stats/overview → 200 (1.6ms) role=OPERATOR
2026-08-06 19:23:00 | INFO    | amr.request      | ba573aea | GET /api/stats/overview → 200 (1.4ms) role=OPERATOR
2026-08-06 19:23:30 | INFO    | amr.request      | 83f321ee | GET /api/stats/overview → 200 (2.6ms) role=OPERATOR
2026-08-06 19:23:30 | INFO    | amr.request      | b624ddf8 | GET /api/stats/overview → 200 (1.8ms) role=OPERATOR
